,points,province,variety
60553,88,Galicia,Albariño
60569,88,Northern Spain,Tinta de Toro
60570,88,Northern Spain,Tempranillo
60572,88,Northern Spain,Tempranillo
60582,88,Catalonia,Sparkling Blend
60614,87,Galicia,Albariño
60681,86,Catalonia,Sparkling Blend
60685,89,Northern Spain,Mencía
60688,89,Northern Spain,Tempranillo Blend
60698,89,Northern Spain,Mencía
60714,84,Levante,Red Blend
60716,84,Levante,Cabernet Sauvignon-Tempranillo
60760,89,Northern Spain,Tinto Fino
60770,88,Northern Spain,Tempranillo Blend
60773,84,Levante,Moscatel
60774,84,Catalonia,Sparkling Blend
60782,83,Central Spain,Red Blend
60783,83,Levante,Tempranillo
60784,83,Northern Spain,Red Blend
60792,88,Catalonia,Tempranillo
60794,88,Northern Spain,Tempranillo
60817,87,Andalucia,Pedro Ximénez
60886,89,Catalonia,Red Blend
60912,89,Galicia,Albariño
60915,91,Andalucia,Sherry
60923,91,Northern Spain,Tempranillo Blend
60925,91,Northern Spain,Tempranillo
60933,91,Catalonia,Red Blend
60939,91,Northern Spain,Tempranillo Blend
60967,86,Northern Spain,Tempranillo
60974,86,Northern Spain,Tempranillo Blend
60997,87,Northern Spain,Tempranillo
61000,87,Levante,Syrah-Tempranillo
61017,84,Northern Spain,Tempranillo
61019,84,Central Spain,Tempranillo
61021,84,Northern Spain,Tempranillo
61173,87,Levante,Red Blend
61184,90,Andalucia,Sherry
61185,90,Andalucia,Palomino
61270,87,Catalonia,Sparkling Blend
61271,87,Catalonia,Sparkling Blend
61284,87,Northern Spain,Tempranillo
61286,87,Northern Spain,Chardonnay
61336,88,Northern Spain,Tempranillo
61349,83,Northern Spain,Tempranillo
61356,83,Levante,Cabernet Sauvignon
61360,83,Galicia,Godello
61361,83,Levante,Tempranillo
61365,82,Northern Spain,Garnacha
61370,82,Northern Spain,Verdejo
61377,91,Northern Spain,Red Blend
61391,91,Northern Spain,Tempranillo
61403,83,Levante,White Blend
61404,83,Northern Spain,Viura
61417,83,Northern Spain,Verdejo
61422,82,Levante,White Blend
61426,82,Northern Spain,Viura
61450,90,Northern Spain,Tempranillo Blend
61469,90,Northern Spain,Tempranillo
61539,86,Catalonia,Pansa Blanca
61575,85,Northern Spain,Verdejo
61582,85,Central Spain,Tempranillo
61595,85,Catalonia,Sparkling Blend
61604,90,Northern Spain,Mencía
61610,90,Northern Spain,Mencía
61615,90,Northern Spain,Mencía
61619,90,Northern Spain,Tempranillo
61625,90,Northern Spain,Tempranillo
61626,91,Andalucia,Sherry
61628,91,Andalucia,Sherry
61630,91,Catalonia,Red Blend
61631,91,Northern Spain,Tempranillo
61662,87,Catalonia,Sparkling Blend
61768,84,Levante,Cabernet Sauvignon
61782,84,Northern Spain,Tempranillo
61798,85,Northern Spain,Red Blend
61859,87,Catalonia,Sparkling Blend
61955,91,Northern Spain,Tempranillo Blend
61962,91,Northern Spain,Tempranillo Blend
61963,91,Northern Spain,Tinto Fino
61969,91,Northern Spain,Tempranillo Blend
62023,86,Northern Spain,Red Blend
62037,86,Northern Spain,Godello
62159,90,Galicia,White Blend
62160,90,Northern Spain,Red Blend
62168,90,Catalonia,Red Blend
62179,90,Northern Spain,Tempranillo Blend
62219,87,Catalonia,Sparkling Blend
62307,91,Northern Spain,Tempranillo
62365,90,Andalucia,Sherry
62367,90,Catalonia,Sparkling Blend
62488,86,Northern Spain,Viura
62489,85,Catalonia,Sparkling Blend
62551,88,Catalonia,Sparkling Blend
62552,88,Catalonia,Sparkling Blend
62555,88,Northern Spain,Tempranillo Blend
62567,88,Catalonia,Sparkling Blend
62571,88,Catalonia,Sparkling Blend
62620,88,Catalonia,Red Blend
62621,88,Catalonia,Red Blend
62642,88,Catalonia,Red Blend
62678,85,Northern Spain,Tempranillo
62681,85,Northern Spain,Tempranillo Blend
62682,85,Northern Spain,Tempranillo
62685,85,Levante,Monastrell-Syrah
62697,85,Northern Spain,Red Blend
62712,87,Northern Spain,Tempranillo
62715,87,Northern Spain,Tinta de Toro
62728,87,Northern Spain,Tempranillo Blend
62766,91,Northern Spain,Tempranillo Blend
62770,91,Northern Spain,Tempranillo
62810,87,Northern Spain,Rosé
62811,87,Catalonia,Sparkling Blend
62813,87,Spain Other,Tempranillo
62821,87,Northern Spain,Tempranillo
62915,87,Galicia,Albariño
62926,87,Galicia,Albariño
63006,85,Northern Spain,Tempranillo Blend
63018,85,Northern Spain,Mencía
63032,86,Northern Spain,Tempranillo
63033,85,Central Spain,Red Blend
63038,85,Catalonia,Carignan-Grenache
63052,85,Levante,Monastrell
63084,84,Catalonia,Sparkling Blend
63135,91,Catalonia,Garnacha Blanca
63154,91,Catalonia,Red Blend
63189,87,Catalonia,Pansa Blanca
63192,87,Northern Spain,Chardonnay
63194,87,Northern Spain,Tempranillo Blend
63196,87,Galicia,Albariño
63201,87,Catalonia,Red Blend
63256,90,Northern Spain,Tempranillo
63356,88,Catalonia,Grenache-Carignan
63358,88,Catalonia,Sparkling Blend
63511,86,Northern Spain,Tinta Fina
63513,86,Catalonia,Sparkling Blend
63514,86,Northern Spain,Tempranillo
63520,86,Catalonia,Sparkling Blend
63522,86,Catalonia,Tempranillo
63524,86,Northern Spain,Godello
63526,86,Catalonia,Sparkling Blend
63582,86,Northern Spain,Tempranillo
63615,93,Northern Spain,Tempranillo
63620,93,Catalonia,Grenache-Carignan
63625,93,Northern Spain,Tempranillo
63679,89,Northern Spain,Tempranillo Blend
63711,88,Northern Spain,Tempranillo Blend
63712,88,Galicia,Red Blend
63722,88,Northern Spain,Tempranillo
63723,88,Catalonia,Red Blend
63807,82,Catalonia,Cabernet Sauvignon
63877,87,Northern Spain,Tempranillo
63916,88,Northern Spain,Red Blend
63964,84,Northern Spain,Tempranillo
64062,89,Northern Spain,Tempranillo Blend
64104,91,Northern Spain,Tempranillo Blend
64105,91,Andalucia,Palomino
64111,91,Catalonia,Sparkling Blend
64202,86,Central Spain,Tempranillo
64210,86,Northern Spain,Verdejo
64212,86,Central Spain,Red Blend
64286,84,Catalonia,Sparkling Blend
64287,84,Northern Spain,Tempranillo
64288,84,Northern Spain,White Blend
64294,84,Northern Spain,Tempranillo
64314,89,Catalonia,Red Blend
64336,91,Northern Spain,Tempranillo Blend
64385,89,Northern Spain,Tempranillo
64389,89,Northern Spain,Tempranillo
64399,89,Northern Spain,Tempranillo
64401,89,Northern Spain,Tempranillo
64404,89,Catalonia,Red Blend
64405,89,Northern Spain,Vidadillo
64458,88,Levante,Monastrell
64491,85,Central Spain,Tempranillo-Cabernet Sauvignon
64504,85,Central Spain,Red Blend
64506,85,Northern Spain,Garnacha-Syrah
64507,85,Northern Spain,Tempranillo Blend
64558,87,Northern Spain,Tempranillo Blend
64586,86,Northern Spain,Chardonnay
64594,85,Catalonia,Sparkling Blend
64636,84,Northern Spain,Tempranillo
64640,84,Galicia,Albariño
64659,84,Northern Spain,Tempranillo Blend
64664,83,Northern Spain,Tempranillo
64666,83,Northern Spain,Rosé
64667,83,Central Spain,Red Blend
64674,83,Northern Spain,Red Blend
64688,87,Central Spain,Tempranillo
64697,87,Northern Spain,Verdejo
64705,87,Northern Spain,Tempranillo
64744,89,Andalucia,Pedro Ximénez
64756,89,Catalonia,Sparkling Blend
64791,85,Northern Spain,Tempranillo Blend
64793,85,Northern Spain,Tempranillo
64801,85,Levante,Tempranillo
64812,85,Northern Spain,Red Blend
64815,85,Northern Spain,Tempranillo
64824,85,Northern Spain,Red Blend
64834,85,Northern Spain,Tempranillo Blend
64838,91,Northern Spain,Tempranillo Blend
64839,91,Northern Spain,Tempranillo
64845,91,Northern Spain,Tempranillo
64874,91,Northern Spain,Tempranillo
64891,88,Andalucia,Palomino
64895,88,Galicia,Albariño
64935,88,Catalonia,Sparkling Blend
64938,83,Northern Spain,Tempranillo
64955,83,Northern Spain,Tempranillo
64958,85,Northern Spain,Tempranillo Blend
64989,86,Northern Spain,Tempranillo-Cabernet Sauvignon
64992,86,Catalonia,Sparkling Blend
64998,86,Catalonia,Tempranillo
64999,86,Catalonia,White Blend
65004,86,Galicia,Red Blend
65036,86,Catalonia,Sparkling Blend
65042,86,Catalonia,Sparkling Blend
65048,86,Levante,Red Blend
65055,86,Catalonia,Sparkling Blend
65081,86,Catalonia,Red Blend
65086,91,Northern Spain,Tempranillo
65102,91,Northern Spain,Tempranillo
65128,87,Galicia,Albariño
65132,87,Northern Spain,Tempranillo
65135,87,Northern Spain,White Blend
65137,87,Northern Spain,Verdejo
65139,87,Catalonia,Malvasia
65217,93,Northern Spain,Tempranillo
65261,86,Spain Other,Sparkling Blend
65300,88,Catalonia,Garnacha
65315,88,Catalonia,Red Blend
65316,88,Catalonia,Red Blend
65335,88,Northern Spain,Red Blend
65343,87,Catalonia,White Blend
65367,84,Northern Spain,Garnacha
65381,84,Northern Spain,Garnacha
65384,83,Northern Spain,Tempranillo Blanco
65388,91,Northern Spain,Tinta de Toro
65389,91,Catalonia,Red Blend
65392,91,Northern Spain,Tempranillo
65396,91,Catalonia,Red Blend
65400,91,Catalonia,Red Blend
65402,91,Catalonia,Red Blend
65407,91,Northern Spain,Mencía
65409,85,Levante,Monastrell
65418,85,Northern Spain,White Blend
65421,85,Central Spain,Tempranillo
65467,88,Northern Spain,Tempranillo
65498,90,Andalucia,Sherry
65516,90,Central Spain,Tempranillo
65701,87,Northern Spain,Tempranillo
65710,87,Northern Spain,Tempranillo
65738,91,Central Spain,Shiraz-Cabernet Sauvignon
65754,92,Northern Spain,Tempranillo Blend
65809,92,Northern Spain,Tempranillo
65822,92,Northern Spain,Garnacha
65893,88,Northern Spain,Tempranillo
65899,88,Levante,Red Blend
66049,86,Northern Spain,Rosé
66098,87,Catalonia,Sparkling Blend
66135,83,Catalonia,Sparkling Blend
66231,91,Northern Spain,Tempranillo
66410,89,Northern Spain,Red Blend
66469,90,Northern Spain,Tinta de Toro
66474,86,Northern Spain,Tempranillo Blend
66827,87,Northern Spain,Red Blend
66829,87,Andalucia,Palomino
66926,95,Northern Spain,Tempranillo
66928,95,Northern Spain,Tempranillo
66946,94,Northern Spain,Tempranillo
66952,87,Catalonia,Red Blend
66954,87,Northern Spain,Tempranillo Blend
66963,87,Northern Spain,Tempranillo
66978,85,Northern Spain,Tempranillo Blend
67023,93,Northern Spain,Red Blend
67162,88,Catalonia,Sparkling Blend
67282,85,Catalonia,Sparkling Blend
67307,89,Northern Spain,Tempranillo
67309,89,Catalonia,Sparkling Blend
67310,89,Northern Spain,Tempranillo Blend
67314,89,Northern Spain,Tinta de Toro
67445,94,Northern Spain,Tempranillo
67484,88,Northern Spain,Mencía
67538,87,Catalonia,White Blend
67626,87,Northern Spain,Tempranillo
67631,87,Catalonia,Sparkling Blend
67751,88,Catalonia,White Blend
67835,88,Galicia,Albariño
67843,88,Central Spain,Red Blend
67890,88,Catalonia,Red Blend
67893,88,Catalonia,Sparkling Blend
67894,88,Catalonia,Sparkling Blend
67895,88,Catalonia,Sparkling Blend
67898,88,Catalonia,Red Blend
67905,88,Catalonia,Sparkling Blend
67944,89,Northern Spain,Verdejo
67956,89,Northern Spain,Tempranillo Blend
67972,89,Catalonia,Sparkling Blend
67981,89,Catalonia,Sparkling Blend
68123,84,Northern Spain,Tempranillo Blend
68128,84,Levante,Monastrell-Syrah
68137,84,Catalonia,Rosé
68230,90,Levante,Monastrell
68251,91,Northern Spain,Tinta de Toro
68257,91,Northern Spain,Tempranillo
68299,91,Northern Spain,Tempranillo-Cabernet Sauvignon
68525,91,Catalonia,Cabernet Sauvignon
68528,91,Levante,Red Blend
68532,91,Northern Spain,Mencía
68541,86,Northern Spain,Viura-Chardonnay
68543,86,Northern Spain,Tempranillo
68544,86,Northern Spain,Tempranillo
68546,86,Northern Spain,Tempranillo
68547,86,Northern Spain,Tempranillo Blend
68619,85,Northern Spain,Tempranillo
68620,85,Levante,Tempranillo Blend
68621,85,Levante,Tempranillo
68623,85,Catalonia,Sparkling Blend
68624,85,Catalonia,Sparkling Blend
68633,85,Catalonia,Sparkling Blend
68637,85,Spain Other,Red Blend
68647,85,Catalonia,Sparkling Blend
68737,88,Catalonia,Sparkling Blend
68742,88,Northern Spain,Tempranillo
69010,91,Catalonia,Red Blend
69085,85,Northern Spain,Verdejo-Viura
69089,85,Northern Spain,White Blend
69096,85,Northern Spain,Tempranillo
69176,87,Northern Spain,Tinta de Toro
69180,87,Northern Spain,Garnacha
69188,87,Catalonia,Pinot Noir
69226,89,Northern Spain,Syrah
69367,88,Northern Spain,Mencía
69406,87,Catalonia,Syrah
69419,87,Catalonia,Red Blend
69425,87,Northern Spain,Tempranillo Blend
69429,87,Catalonia,Red Blend
69441,87,Northern Spain,Tinta de Toro
69446,87,Northern Spain,Tempranillo
69532,94,Northern Spain,Tinta de Toro
69555,84,Northern Spain,Tempranillo Blend
69562,84,Northern Spain,Tempranillo
69626,89,Northern Spain,Tempranillo
69667,86,Catalonia,Sparkling Blend
69680,86,Catalonia,Sparkling Blend
69749,90,Northern Spain,Tempranillo
69750,90,Northern Spain,Tempranillo
69884,87,Northern Spain,Tempranillo Blend
69886,87,Northern Spain,Godello
69887,87,Northern Spain,Rosé
69889,87,Northern Spain,Verdejo-Viura
69903,84,Central Spain,Garnacha Tintorera
69917,83,Catalonia,Sparkling Blend
69918,83,Catalonia,Sparkling Blend
69920,83,Levante,Moscatel
69928,86,Central Spain,Tempranillo
69942,86,Galicia,Albariño
70099,89,Northern Spain,Tempranillo
70104,89,Northern Spain,Garnacha
70116,89,Northern Spain,Tempranillo
70178,89,Northern Spain,Tempranillo
70208,90,Northern Spain,Red Blend
70228,89,Andalucia,Sherry
70229,88,Northern Spain,Tinto Fino
70230,88,Catalonia,Red Blend
70371,89,Northern Spain,Tempranillo
70543,91,Catalonia,Red Blend
70582,94,Northern Spain,Tempranillo
70591,94,Northern Spain,Tempranillo
70603,86,Northern Spain,Tempranillo
70604,86,Northern Spain,Tempranillo
70610,86,Catalonia,Sparkling Blend
70663,86,Central Spain,Red Blend
70665,86,Levante,Monastrell-Syrah
70666,86,Northern Spain,Tempranillo
70667,86,Northern Spain,Tempranillo Blend
70675,90,Central Spain,Syrah-Grenache
70781,85,Galicia,Mencía
70790,94,Northern Spain,Tinto Fino
70849,89,Northern Spain,Red Blend
70916,89,Galicia,Albariño
70945,89,Northern Spain,Tempranillo
70947,89,Northern Spain,Tempranillo Blend
70972,92,Andalucia,Moscatel
71029,86,Northern Spain,Tempranillo
71050,86,Northern Spain,Tempranillo Blend
71053,86,Northern Spain,Tempranillo-Cabernet Sauvignon
71054,86,Northern Spain,Red Blend
71061,86,Northern Spain,Tempranillo Blend
71069,86,Northern Spain,Tempranillo
71136,85,Galicia,Albariño
71158,85,Northern Spain,Sauvignon Blanc-Verdejo
71178,91,Central Spain,Grenache-Syrah
71187,91,Galicia,Albariño
71190,91,Northern Spain,Tempranillo
71191,91,Catalonia,Red Blend
71193,91,Northern Spain,Tinta de Toro
71295,89,Northern Spain,Godello
71302,89,Northern Spain,Red Blend
71312,92,Northern Spain,Tempranillo
71318,92,Northern Spain,Tempranillo
71320,91,Northern Spain,Red Blend
71330,87,Northern Spain,Tempranillo
71347,87,Northern Spain,Tempranillo
71394,94,Northern Spain,Syrah
71413,89,Northern Spain,Red Blend
71414,89,Central Spain,Tempranillo
71418,89,Northern Spain,Garnacha
71471,89,Northern Spain,Garnacha
71474,89,Northern Spain,Tempranillo
71489,89,Northern Spain,Garnacha
71588,88,Northern Spain,Tempranillo
71601,90,Catalonia,Sparkling Blend
71611,90,Northern Spain,Tinta de Toro
71691,86,Central Spain,Sparkling Blend
71695,86,Catalonia,Sparkling Blend
71701,86,Catalonia,Sparkling Blend
71718,93,Catalonia,Bordeaux-style Red Blend
71738,93,Northern Spain,Tempranillo
71775,90,Northern Spain,Tempranillo
71804,90,Northern Spain,Tempranillo
71820,90,Catalonia,Sparkling Blend
71867,83,Northern Spain,Prieto Picudo
71877,83,Central Spain,Moscato
71878,83,Northern Spain,Garnacha
71881,85,Northern Spain,Tempranillo Blend
71883,85,Northern Spain,Tempranillo-Garnacha
71890,85,Northern Spain,Garnacha
72007,87,Northern Spain,Tempranillo
72060,87,Catalonia,Red Blend
72105,86,Levante,Monastrell
72110,86,Northern Spain,Tempranillo Blend
72111,86,Northern Spain,Tempranillo Blend
72123,86,Catalonia,Sparkling Blend
72130,90,Northern Spain,Tempranillo
72132,90,Catalonia,Sparkling Blend
72133,90,Northern Spain,Tempranillo
72150,90,Northern Spain,Tempranillo Blend
72162,88,Northern Spain,Tempranillo
72164,88,Catalonia,Sparkling Blend
72213,86,Catalonia,Sparkling Blend
72220,91,Northern Spain,Tempranillo Blend
72230,91,Catalonia,Red Blend
72237,91,Northern Spain,Tempranillo Blend
72240,91,Northern Spain,Tempranillo Blend
72244,91,Northern Spain,Tempranillo
72279,88,Catalonia,Sparkling Blend
72297,87,Northern Spain,Tempranillo
72396,85,Levante,Rosé
72411,84,Northern Spain,Tempranillo
72412,84,Northern Spain,Tempranillo
72429,84,Northern Spain,Tempranillo Blanco
72528,87,Catalonia,Red Blend
72541,86,Central Spain,Cabernet Franc
72543,86,Northern Spain,Red Blend
72544,86,Northern Spain,Merlot
72589,89,Levante,Red Blend
72595,89,Northern Spain,Cabernet Sauvignon
72603,89,Andalucia,Sherry
72604,89,Andalucia,Sherry
72836,86,Central Spain,Tempranillo
72840,86,Northern Spain,Tinto Fino
72849,86,Northern Spain,Tempranillo
72859,86,Spain Other,Red Blend
72966,88,Levante,Monastrell
72971,88,Northern Spain,Tempranillo
73028,90,Central Spain,Red Blend
73068,86,Galicia,Albariño
73070,86,Northern Spain,Mencía
73081,86,Central Spain,Tempranillo
73169,93,Northern Spain,Mencía
73183,93,Northern Spain,Mencía
73195,87,Catalonia,Red Blend
73208,86,Catalonia,Red Blend
73215,86,Northern Spain,Tempranillo
73295,87,Levante,Syrah
73297,87,Northern Spain,Garnacha-Tempranillo
73337,86,Andalucia,Sherry
73421,86,Catalonia,Sparkling Blend
73422,86,Central Spain,Tempranillo
73437,86,Central Spain,Tempranillo-Cabernet Sauvignon
73474,94,Catalonia,Red Blend
73647,89,Northern Spain,Garnacha
73653,89,Catalonia,Red Blend
73680,92,Andalucia,Sherry
73690,91,Andalucia,Sherry
73780,87,Northern Spain,Graciano
73790,87,Andalucia,White Blend
73795,87,Levante,Tempranillo Blend
73796,87,Catalonia,Red Blend
73798,87,Catalonia,Macabeo
73848,87,Northern Spain,Tempranillo Blend
73898,88,Central Spain,Red Blend
73902,88,Northern Spain,Garnacha
73908,88,Northern Spain,Garnacha
73923,88,Andalucia,Pedro Ximénez
73932,88,Northern Spain,Tempranillo
73933,88,Northern Spain,Garnacha
74131,90,Catalonia,Sparkling Blend
74135,90,Catalonia,Sparkling Blend
74137,90,Northern Spain,Red Blend
74144,90,Catalonia,Red Blend
74200,89,Northern Spain,Graciano
74213,89,Central Spain,Tempranillo
74257,92,Northern Spain,Tinto Fino
74258,86,Northern Spain,Grenache
74292,90,Catalonia,Red Blend
74313,89,Northern Spain,White Blend
74317,89,Central Spain,Red Blend
74327,83,Northern Spain,Viura
74328,83,Northern Spain,Tempranillo-Garnacha
74330,83,Catalonia,Sparkling Blend
74331,83,Northern Spain,Rosé
74332,83,Central Spain,White Blend
74338,83,Northern Spain,Grenache Blend
74339,83,Northern Spain,Tempranillo Blanco
74341,83,Northern Spain,Tempranillo-Garnacha
74346,83,Northern Spain,Garnacha
74380,88,Catalonia,Red Blend
74403,87,Northern Spain,Tempranillo Blend
74405,87,Andalucia,Sherry
74459,91,Northern Spain,Red Blend
74476,91,Northern Spain,Red Blend
74666,87,Northern Spain,Tempranillo
74674,87,Northern Spain,Tempranillo
74678,84,Central Spain,Garnacha
74680,84,Northern Spain,Tempranillo
74686,84,Catalonia,Sparkling Blend
74699,84,Northern Spain,Garnacha Blanca
74736,90,Catalonia,Muscat
74764,90,Northern Spain,Tempranillo
74798,83,Northern Spain,Tempranillo Blend
74799,83,Galicia,Albariño
74845,90,Catalonia,Red Blend
74860,90,Northern Spain,Verdejo
74951,88,Northern Spain,Red Blend
74953,88,Northern Spain,Tempranillo
74959,88,Catalonia,Sparkling Blend
75059,85,Northern Spain,Tempranillo Blanco
75156,84,Catalonia,Grenache-Carignan
75204,87,Catalonia,Red Blend
75211,87,Central Spain,Red Blend
75224,87,Catalonia,Cabernet Sauvignon
75237,88,Northern Spain,Garnacha
75245,88,Northern Spain,Tinto del Pais
75353,91,Northern Spain,Tinta de Toro
75374,87,Levante,Red Blend
75396,87,Galicia,Albariño
75404,86,Central Spain,Red Blend
75413,86,Northern Spain,Chardonnay
75414,86,Levante,Monastrell
75452,88,Northern Spain,Tempranillo
75455,88,Northern Spain,Tinto Fino
75457,88,Northern Spain,Tempranillo
75464,88,Catalonia,Sparkling Blend
75465,88,Northern Spain,Tempranillo
75467,88,Northern Spain,Tempranillo
75468,88,Northern Spain,Garnacha
75474,87,Northern Spain,Garnacha
75476,87,Northern Spain,Chardonnay
75477,87,Northern Spain,Rosé
75481,87,Northern Spain,White Blend
75484,87,Catalonia,Sparkling Blend
75487,87,Catalonia,Chardonnay
75493,87,Northern Spain,Tinta de Toro
75494,87,Catalonia,Sparkling Blend
75498,87,Catalonia,Sparkling Blend
75530,85,Catalonia,Champagne Blend
75535,84,Catalonia,Champagne Blend
75539,84,Catalonia,Champagne Blend
75551,82,Catalonia,Champagne Blend
75553,81,Catalonia,Champagne Blend
75555,80,Catalonia,Champagne Blend
75746,89,Catalonia,Sparkling Blend
75842,91,Northern Spain,Verdejo
75889,87,Northern Spain,Tempranillo
75892,87,Catalonia,Sparkling Blend
75911,91,Northern Spain,Tempranillo
75920,91,Northern Spain,Tinto Fino
75987,89,Northern Spain,Prieto Picudo
76013,95,Northern Spain,Tinta de Toro
76029,91,Catalonia,Sparkling Blend
76030,91,Northern Spain,Mencía
76085,92,Andalucia,Sherry
76108,91,Northern Spain,Tinta de Toro
76135,87,Catalonia,White Blend
76151,87,Northern Spain,Verdejo
76167,85,Northern Spain,Chardonnay
76171,85,Northern Spain,Tempranillo-Garnacha
76172,85,Northern Spain,Garnacha-Syrah
76183,84,Northern Spain,Rosé
76184,84,Northern Spain,Tempranillo
76186,84,Northern Spain,Viura
76191,84,Catalonia,White Blend
76203,94,Northern Spain,Tempranillo
76212,94,Northern Spain,Red Blend
76232,88,Catalonia,Sparkling Blend
76233,88,Northern Spain,Tempranillo
76234,88,Central Spain,Red Blend
76235,88,Catalonia,Sparkling Blend
76256,87,Andalucia,Red Blend
76276,87,Northern Spain,Tempranillo Blend
76277,87,Northern Spain,Verdejo
76281,92,Andalucia,Sherry
76282,92,Andalucia,Sherry
76289,92,Catalonia,Sparkling Blend
76301,92,Northern Spain,Tempranillo
76302,92,Spanish Islands,Red Blend
76314,84,Northern Spain,White Blend
76323,84,Northern Spain,Bordeaux-style Red Blend
76327,84,Northern Spain,Tempranillo
76342,88,Northern Spain,Tempranillo
76343,88,Levante,Cabernet Sauvignon-Tempranillo
76349,88,Northern Spain,Graciano
76350,88,Northern Spain,Merlot-Cabernet Sauvignon
76371,86,Catalonia,Garnacha Blanca
76376,86,Northern Spain,White Blend
76380,86,Central Spain,Red Blend
76459,89,Catalonia,Sparkling Blend
76472,88,Northern Spain,Red Blend
76488,88,Northern Spain,Tempranillo
76533,87,Catalonia,Sparkling Blend
76569,95,Northern Spain,Tinta de Toro
76651,85,Catalonia,Albariño
76674,85,Central Spain,Shiraz
76752,90,Catalonia,Red Blend
76839,87,Northern Spain,Garnacha
76848,88,Central Spain,Red Blend
76948,91,Northern Spain,Tempranillo
76956,91,Northern Spain,Tempranillo
76968,91,Catalonia,Sparkling Blend
76970,91,Catalonia,Sparkling Blend
77005,89,Northern Spain,Tempranillo Blend
77008,88,Northern Spain,Garnacha
77009,88,Catalonia,Red Blend
77023,88,Central Spain,Tempranillo
77122,88,Northern Spain,Garnacha
77125,88,Northern Spain,Verdejo
77127,88,Galicia,White Blend
77147,88,Northern Spain,Tempranillo
77199,90,Northern Spain,Tempranillo
77286,85,Northern Spain,Tempranillo
77294,85,Central Spain,White Blend
77340,91,Levante,Monastrell
77363,87,Catalonia,Sparkling Blend
77371,87,Catalonia,Sparkling Blend
77421,87,Northern Spain,Tempranillo Blend
77422,87,Northern Spain,Mencía
77429,87,Northern Spain,Tempranillo Blend
77513,88,Galicia,Albariño
77518,88,Northern Spain,Verdejo
77519,88,Northern Spain,Tempranillo Blend
77535,88,Northern Spain,Tempranillo
77729,92,Northern Spain,Tempranillo Blend
77746,86,Northern Spain,Tempranillo
77751,86,Northern Spain,Tempranillo Blend
77767,86,Northern Spain,Godello
77850,91,Northern Spain,Red Blend
77851,85,Northern Spain,Tempranillo
77858,85,Northern Spain,Mencía
77860,85,Catalonia,White Blend
77862,85,Northern Spain,Tempranillo
77871,85,Galicia,Albariño
77931,87,Andalucia,Sherry
77975,90,Andalucia,Sherry
78041,90,Catalonia,Sparkling Blend
78066,84,Northern Spain,Garnacha
78068,84,Northern Spain,Tempranillo Blend
78070,84,Central Spain,White Blend
78071,84,Central Spain,Tempranillo
78072,84,Central Spain,Tempranillo
78075,84,Levante,Red Blend
78081,84,Central Spain,Bobal
78082,84,Catalonia,Sparkling Blend
78083,83,Northern Spain,Tempranillo
78086,83,Levante,Tempranillo
78098,92,Northern Spain,Tempranillo
78110,92,Catalonia,Red Blend
78113,92,Northern Spain,Tempranillo
78170,87,Catalonia,Red Blend
78172,87,Northern Spain,Tempranillo
78186,90,Central Spain,Cabernet Sauvignon
78200,90,Northern Spain,Tempranillo
78246,87,Northern Spain,Verdejo
78249,87,Central Spain,Garnacha
78258,87,Northern Spain,Cabernet Sauvignon-Tempranillo
78264,93,Northern Spain,Tempranillo
78291,93,Northern Spain,Tempranillo
78295,95,Northern Spain,Tinta de Toro
78369,91,Northern Spain,Tempranillo Blend
78370,91,Northern Spain,Tinta de Toro
78474,86,Northern Spain,Merlot-Cabernet Sauvignon
78487,86,Northern Spain,Prieto Picudo
78488,86,Andalucia,Sherry
78495,89,Catalonia,Red Blend
78497,89,Northern Spain,Tempranillo
78713,82,Northern Spain,Mencía
78722,92,Northern Spain,Cabernet Sauvignon
78772,87,Northern Spain,Red Blend
78776,92,Northern Spain,Red Blend
78779,92,Catalonia,Red Blend
78787,92,Northern Spain,Tempranillo
78788,92,Northern Spain,Tempranillo Blend
78851,93,Andalucia,Sherry
78858,93,Andalucia,Sherry
78859,93,Andalucia,Sherry
78916,86,Catalonia,Garnacha
78921,86,Northern Spain,Viura
78924,85,Northern Spain,White Blend
78936,85,Northern Spain,White Blend
78940,85,Levante,Monastrell
78949,88,Catalonia,Sparkling Blend
78999,85,Catalonia,Red Blend
79002,86,Catalonia,Tempranillo
79023,86,Catalonia,Red Blend
79033,87,Northern Spain,Tempranillo Blend
79038,87,Andalucia,Sherry
79110,96,Northern Spain,Tempranillo
79161,85,Northern Spain,Cabernet Sauvignon
79205,90,Northern Spain,Tempranillo
79230,87,Northern Spain,Prieto Picudo
79232,87,Northern Spain,Tempranillo Blend
79352,85,Central Spain,Garnacha
79427,89,Catalonia,Red Blend
79432,89,Northern Spain,Tempranillo
79437,89,Central Spain,Red Blend
79438,89,Northern Spain,Tempranillo Blend
79444,89,Galicia,Albariño
79445,89,Northern Spain,Tempranillo
79470,86,Northern Spain,Rosé
79490,86,Galicia,Albariño
79491,86,Northern Spain,Graciano
79529,91,Northern Spain,Graciano
79551,91,Northern Spain,Graciano
79563,84,Levante,Red Blend
79565,84,Central Spain,Tempranillo
79576,84,Central Spain,Tempranillo
79579,84,Central Spain,Garnacha
79620,90,Galicia,White Blend
79623,90,Northern Spain,Tempranillo
79624,90,Northern Spain,Godello
79628,89,Catalonia,Red Blend
